concept,count,total_marks,min_qs,median_qs,max_qs,min_marks,median_marks,max_marks,min_marks_papers,max_marks_papers
algorithm,71,333,0,4,6,0,15,27,May 2018,May 2014
binary tree,39,90,0,2,4,0,3,13,May 2018; Nov 2017,May 2014
pseudocode,38,182,0,1,6,0,7,28,May 2023; Nov 2017; Nov 2019; Nov 2021,May 2018
two-dimensional array,36,149,0,2,4,0,8,18,May 2014; May 2016; May 2017; May 2021; May 2022; May 2024,May 2018
stack,30,99,0,2,3,0,4,11,May 2019; Nov 2021; Nov 2022; Nov 2023,May 2014
linked list,28,91,0,1,4,0,3,12,May 2017; May 2019; May 2022; May 2023; Nov 2017; Nov 2020; Nov 2022,May 2015; Nov 2023
control system,28,89,0,1,3,0,4,11,May 2014; May 2016; Nov 2016; Nov 2023; Nov 2024,May 2023
recursion,23,68,0,1,2,0,4,8,May 2019; May 2022; May 2024; Nov 2014; Nov 2018; Nov 2021; Nov 2022,May 2023
operating system,23,63,0,1,2,0,2,7,Nov 2023,May 2017; Nov 2020
queue,22,62,0,1,5,0,2,10,May 2016; May 2019; May 2024; Nov 2014; Nov 2016; Nov 2017; Nov 2018; Nov 2019,Nov 2020
network security,21,53,0,1,2,0,3,5,May 2014; May 2022; Nov 2016; Nov 2022,Nov 2019; Nov 2020
resource management,18,56,0,1,2,0,3,8,May 2014; May 2015; May 2017; May 2019; Nov 2014; Nov 2015; Nov 2021,Nov 2020
sensor,17,63,0,1,2,0,3,11,May 2014; May 2016; May 2019; May 2024; Nov 2014; Nov 2021; Nov 2023; Nov 2024,May 2017
truth table,16,53,0,1,2,0,3,5,May 2014; May 2018; May 2024; Nov 2021; Nov 2022; Nov 2023,May 2017
array,15,49,0,0,3,0,0,8,May 2015; May 2016; May 2023; May 2024; Nov 2014; Nov 2016; Nov 2017; Nov 2020; Nov 2021; Nov 2023; Nov 2024,May 2014; May 2022
processor,15,59,0,1,3,0,2,14,May 2014; May 2015; May 2016; May 2018; May 2019; May 2024; Nov 2014; Nov 2021; Nov 2023; Nov 2024,May 2017
VPN,14,43,0,1,2,0,2,5,May 2017; May 2019; May 2022; Nov 2014; Nov 2016; Nov 2017; Nov 2019; Nov 2020; Nov 2024,May 2016; May 2021
sensors,14,44,0,0,2,0,0,9,May 2014; May 2016; May 2017; May 2022; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2022; Nov 2024,May 2018
data loss,14,38,0,0,3,0,0,9,May 2014; May 2021; May 2022; May 2023; Nov 2014; Nov 2015; Nov 2017; Nov 2018; Nov 2020; Nov 2022; Nov 2024,May 2017
