subtopic,count,total_marks,min_combined_marks,median_combined_marks,max_combined_marks,min_papers,max_papers
1.1,79,194,3,9,15,Nov 2024,May 2017; Nov 2022
1.2,66,159,0,9,14,May 2015; May 2017,Nov 2016
2.1,106,220,4,10,22,May 2014; May 2021,Nov 2024
3.1,96,264,4,14,19,May 2022,Nov 2024
4.1,22,36,0,2,9,May 2017; May 2019; May 2021; May 2023; Nov 2016; Nov 2017; Nov 2018; Nov 2020; Nov 2022; Nov 2024,May 2016
4.2,57,195,0,8,24,May 2023; Nov 2016; Nov 2023; Nov 2024,May 2021
4.3,40,124,0,2,28,May 2015; May 2016; May 2017; May 2018; May 2019; Nov 2015; Nov 2019; Nov 2020; Nov 2021; Nov 2023,May 2014
5.1,198,593,15,30,42,May 2014,Nov 2024
6.1,43,109,2,4,11,May 2014; Nov 2014; Nov 2019; Nov 2022,May 2021; Nov 2020
7.1,61,198,2,9,18,Nov 2024,May 2015
